R_No	B_No(Boardingpass)	U_No	S_No	Div	Seat
1996	1938	91	353	1	B29
1997	1939	2	354	1	E20
1998	1940	4	354	1	F03
1999	1941	46	354	1	E02
2000	1942	62	354	1	B05
2001	1943	35	355	1	E23
2002	1944	59	355	1	B02
2003	1945	74	355	1	F06
2004	1946	94	355	1	F01
2005	1947	18	356	1	E11
2006	1948	29	356	1	F11
2007	1949	33	356	1	E43
2008	1950	61	356	1	B23
2009	1951	64	356	1	B27
2010	1952	76	356	1	E38
2011	1953	4	357	1	F02
2012	1954	11	357	1	F12
2013	1955	12	357	1	F04
2014	1956	31	357	1	F11
2015	1957	36	357	1	E47
2016	1958	51	357	1	B01
2017	1959	13	358	1	F11
2018	1960	15	358	1	E55
2019	1961	34	358	1	B21
2020	1962	46	358	1	F09
2021	1963	16	359	1	E27
2022	1963	16	359	2	E28
2023	1964	39	359	1	F12
2024	1965	43	359	1	F02
2025	1966	60	359	1	B11
2026	1967	71	359	1	F08
2027	1968	90	359	1	B14
2028	1969	93	359	1	E51
2029	1970	15	360	1	F09
2030	1971	72	360	1	F11
2031	1972	17	361	1	B29
2032	1973	26	361	1	F05
2033	1974	53	361	1	E24
2034	1975	75	361	1	F09
2035	1976	17	362	1	F03
2036	1977	29	362	1	F06
2037	1978	36	362	1	F05
2038	1979	43	362	1	B16
2039	1980	52	362	1	B15
2040	1981	67	362	1	E12
2041	1982	70	362	1	F01
2042	1983	8	363	1	F08
2043	1984	28	363	1	F07
2044	1985	35	363	1	F10
2045	1986	69	363	1	E56
2046	1987	81	363	1	F02
2047	1988	31	364	1	E05
2048	1989	40	364	1	E27
2049	1990	45	364	1	E40
2050	1991	76	364	1	E54
2051	1992	87	364	1	B04
2052	1993	88	364	1	E37
2053	1994	1	365	1	B21
2054	1995	32	365	1	F09
2055	1996	53	365	1	E13
2056	1997	60	365	1	B05
2057	1998	68	365	1	F03
2058	1999	72	365	1	B26
2059	2000	90	365	1	E36
2060	2001	93	365	1	B07
2061	2002	17	366	1	F07
2062	2003	18	366	1	E05
2063	2004	35	366	1	E20
2064	2005	44	366	1	E19
2065	2006	48	366	1	E39
2066	2007	58	366	1	B19
2067	2008	76	366	1	B25
2068	2008	76	366	1	B26
2069	2009	2	367	1	B10
2070	2010	28	367	1	B29
2071	2011	63	367	1	B17
2072	2012	83	367	1	E13
2073	2013	11	368	1	F04
2074	2014	16	368	1	E07
2075	2015	19	368	1	F11
2076	2016	36	368	1	F05
2077	2017	69	368	1	E43
2078	2018	81	368	1	B09
2079	2019	82	368	1	F12
2080	2020	8	369	1	E43
2081	2021	23	369	1	B11
2082	2022	32	369	1	F04
2083	2023	41	369	1	B16
2084	2024	44	369	1	E32
2085	2025	58	369	1	E09
2086	2026	68	369	1	E41
2087	2027	73	369	1	E49
2088	2028	86	369	1	E42
2089	2029	14	370	1	B03
2090	2030	22	370	1	F07
2091	2031	47	370	1	E13
2092	2032	5	371	1	F05
2093	2033	7	371	1	E32
2094	2034	16	371	1	B26
2095	2035	50	371	1	B24
2096	2036	29	372	1	E14
2097	2037	34	372	1	F04
2098	2038	46	372	1	E06
2099	2039	58	372	1	B04
2100	2040	65	372	1	F01
2101	2041	66	372	1	B22
2102	2042	73	372	1	F11
2103	2043	85	372	1	F03
2104	2044	2	373	1	E05
2105	2045	10	373	1	B27
2106	2045	10	373	3	B28
2107	2046	18	373	1	F03
2108	2047	46	373	1	F03
2109	2048	80	373	1	E23
2110	2049	88	373	1	F11
2111	2050	91	373	1	F10
2112	2051	20	374	1	B02
2113	2052	29	374	1	B10
2114	2053	47	374	1	E21
2115	2054	89	374	1	E19
2116	2055	10	375	1	B10
2117	2056	29	375	1	F01
2118	2057	49	375	1	B29
2119	2058	62	375	1	F04
2120	2059	78	375	1	B19
2121	2060	83	375	1	E05
2122	2061	86	375	1	E13
2123	2062	4	376	1	F05
2124	2063	43	376	1	E09
2125	2064	45	376	1	B25
2126	2065	60	376	1	E49
2127	2065	60	376	3	E50
2128	2066	74	376	1	E55
2129	2067	77	376	1	F12
2130	2068	26	377	1	B28
2131	2069	34	377	1	F12
2132	2070	43	377	1	B29
2133	2071	55	377	1	B04
2134	2072	35	378	1	E27
2135	2073	56	378	1	B11
2136	2074	60	378	1	B03
2137	2075	75	378	1	B19
2138	2076	4	379	1	B30
2139	2077	11	379	1	E30
2140	2078	21	379	1	B17
2141	2079	28	379	1	B09
2142	2080	54	379	1	E46
2143	2081	55	379	1	E05
2144	2082	66	379	1	E32
2145	2083	74	379	1	E32
2146	2083	74	379	2	E33
2147	2084	89	379	1	F12
2148	2085	21	380	1	F12
2149	2086	23	380	1	B07
2150	2087	27	380	1	B24
2151	2088	35	380	1	B29
2152	2089	37	380	1	E36
2153	2090	67	380	1	F11
2154	2091	70	380	1	F06
2155	2092	73	380	1	E18
2156	2093	78	380	1	F08
2157	2094	85	380	1	B27
2158	2095	94	380	1	E45
2159	2096	22	381	1	F01
2160	2097	32	381	1	F08
2161	2098	38	381	1	F09
2162	2099	64	381	1	E13
2163	2100	70	381	1	E26
2164	2101	3	382	1	E08
2165	2102	15	382	1	F09
2166	2103	25	382	1	B27
2167	2104	35	382	1	F09
2168	2105	41	382	1	E23
2169	2106	47	382	1	E27
2170	2107	62	382	1	F08
2171	2108	64	382	1	B15
2172	2109	66	382	1	B11
2173	2110	72	382	1	E12
2174	2111	19	383	1	F11
2175	2112	21	383	1	B22
2176	2112	21	383	3	B23
2177	2113	78	383	1	F02
2178	2114	94	383	1	E07
2179	2115	11	384	1	E17
2180	2116	13	384	1	B18
2181	2117	35	384	1	F10
2182	2118	38	384	1	E26
2183	2119	50	384	1	E32
2184	2120	53	384	1	F09
2185	2121	73	384	1	F09
2186	2122	93	384	1	F05
2187	2123	31	385	1	E05
2188	2124	64	385	1	F10
2189	2125	83	385	1	E54
2190	2126	92	385	1	B28
2191	2127	9	386	1	F05
2192	2128	10	386	1	F07
2193	2129	11	386	1	F05
2194	2130	13	386	1	B15
2195	2131	35	386	1	B25
2196	2132	44	386	1	B17
2197	2133	62	386	1	B28
2198	2134	91	386	1	F08
2199	2135	92	386	1	F06
2200	2136	62	387	1	F01
2201	2137	64	387	1	E02
2202	2138	17	388	1	B30
2203	2139	39	388	1	E51
2204	2140	41	388	1	E08
2205	2141	4	389	1	B19
2206	2142	6	389	1	B18
2207	2143	14	389	1	B17
2208	2144	23	389	1	F07
2209	2145	31	389	1	F09
2210	2146	39	389	1	E17
2211	2147	54	389	1	E20
2212	2148	68	389	1	B11
2213	2149	76	389	1	B05
2214	2150	30	390	1	B09
2215	2151	36	390	1	F09
2216	2152	47	390	1	F07
2217	2153	70	390	1	F04
2218	2154	35	391	1	B29
2219	2155	56	391	1	E06
2220	2156	64	391	1	F05
2221	2157	70	391	1	B21
2222	2158	81	391	1	B13
2223	2159	83	391	1	B05
2224	2160	92	391	1	F01
2225	2161	95	391	1	E19
2226	2162	15	392	1	E06
2227	2163	16	392	1	B13
2228	2164	67	392	1	E18
2229	2165	78	392	1	B19
2230	2166	87	392	1	B24
2231	2167	11	393	1	F08
2232	2168	12	393	1	E48
2233	2169	38	393	1	E30
2234	2170	62	393	1	E14
2235	2171	73	393	1	F04
2236	2172	78	393	1	B14
2237	2173	95	393	1	B07
2238	2174	15	394	1	B21
2239	2175	47	394	1	F08
2240	2176	61	394	1	E13
2241	2177	73	394	1	F06
2242	2178	76	394	1	B07
2243	2179	78	394	1	B15
2244	2179	78	394	1	B16
2245	2180	4	395	1	E42
2246	2181	37	395	1	E50
2247	2182	86	395	1	E50
2248	2183	95	395	1	F10
2249	2184	4	396	1	E11
2250	2185	18	396	1	E46
2251	2186	40	396	1	F01
2252	2187	46	396	1	F05
2253	2188	57	396	1	B01
2254	2189	58	396	1	B14
2255	2190	79	396	1	E48
2256	2191	81	396	1	E04
2257	2192	93	396	1	E43
2258	2193	2	397	1	E10
2259	2194	5	397	1	B20
2260	2195	7	397	1	B18
2261	2196	26	397	1	F11
2262	2197	30	397	1	F02
2263	2198	38	397	1	F06
2264	2199	43	397	1	E24
2265	2200	70	397	1	B24
2266	2201	26	398	1	B21
2267	2202	29	398	1	B12
2268	2203	58	398	1	E18
2269	2204	2	399	1	B18
2270	2205	11	399	1	F12
2271	2206	20	399	1	E03
2272	2206	20	399	2	E04
2273	2207	41	399	1	B20
2274	2208	56	399	1	F11
2275	2209	68	399	1	B04
2276	2210	17	400	1	E14
2277	2211	36	400	1	E53
2278	2212	77	400	1	B28
2279	2213	2	401	1	B29
2280	2214	13	401	1	F07
2281	2215	23	401	1	E16
2282	2216	28	401	1	F03
2283	2217	34	401	1	B01
2284	2218	54	401	1	F03
2285	2219	67	401	1	F04
2286	2220	89	401	1	F12
2287	2221	22	402	1	E26
2288	2221	22	402	2	E27
2289	2222	55	402	1	B04
2290	2223	62	402	1	F03
2291	2224	75	402	1	B30
2292	2225	11	403	1	B03
2293	2226	21	403	1	E53
2294	2227	25	403	1	F08
2295	2228	55	403	1	E35
2296	2229	89	403	1	F07
2297	2230	94	403	1	B25
2298	2231	26	404	1	E32
2299	2232	61	404	1	F07
2300	2233	85	404	1	F11
2301	2234	89	404	1	E14
2302	2235	9	405	1	F11
2303	2236	53	405	1	E45
2304	2237	75	405	1	F11
2305	2238	15	406	1	B03
2306	2239	23	406	1	F11
2307	2240	34	406	1	B03
2308	2241	54	406	1	E36
2309	2241	54	406	2	E37
2310	2242	77	406	1	E04
2311	2243	78	406	1	F03
2312	2244	86	406	1	F10
2313	2245	89	406	1	F02
2314	2246	4	407	1	E52
2315	2247	19	407	1	F09
2316	2248	25	407	1	F03
2317	2249	26	407	1	F06
2318	2250	57	407	1	F06
2319	2251	58	407	1	F11
2320	2252	63	407	1	E38
2321	2253	64	407	1	E41
2322	2254	67	407	1	E34
2323	2255	75	407	1	B14
2324	2256	82	407	1	E04
2325	2257	15	408	1	F03
2326	2257	15	408	2	F04
2327	2258	17	408	1	B24
2328	2259	30	408	1	B14
2329	2260	1	409	1	E46
2330	2261	9	409	1	F10
2331	2262	16	409	1	B14
2332	2263	23	409	1	E26
2333	2264	27	409	1	E31
2334	2265	35	409	1	B03
2335	2266	50	409	1	E23
2336	2267	73	409	1	E09
2337	2268	84	409	1	B13
2338	2269	86	409	1	E30
2339	2270	93	409	1	B13
2340	2271	4	410	1	B09
2341	2272	23	410	1	F02
2342	2273	34	410	1	E25
2343	2274	62	410	1	E46
2344	2275	64	410	1	B30
2345	2276	76	410	1	B19
2346	2277	4	411	1	E06
2347	2278	27	411	1	B07
2348	2279	43	411	1	E43
2349	2280	49	411	1	F10
2350	2281	51	411	1	E33
2351	2282	63	411	1	B14
2352	2283	65	411	1	F11
2353	2284	31	412	1	E49
2354	2285	36	412	1	E06
2355	2286	44	412	1	E44
2356	2287	63	412	1	B12
2357	2288	71	412	1	F01
2358	2289	92	412	1	E43
2359	2290	93	412	1	B28
2360	2291	1	413	1	F12
2361	2292	11	413	1	B05
2362	2293	18	413	1	E24
2363	2294	28	413	1	B20
2364	2295	41	413	1	F03
2365	2296	49	413	1	F09
2366	2297	3	414	1	F07
2367	2298	22	414	1	E01
2368	2299	31	414	1	B02
2369	2300	24	415	1	F12
2370	2301	14	416	1	E45
2371	2302	56	416	1	F10
2372	2303	58	416	1	B18
2373	2304	64	416	1	B01
2374	2305	77	416	1	E01
2375	2306	83	416	1	F05
2376	2307	91	416	1	E49
2377	2308	3	417	1	E10
2378	2309	20	417	1	E01
2379	2310	25	417	1	E02
2380	2311	42	417	1	B02
2381	2312	43	417	1	F02
2382	2313	84	417	1	B28
2383	2314	17	418	1	F02
2384	2315	19	418	1	F07
2385	2316	33	418	1	E39
2386	2317	39	418	1	E38
2387	2318	70	418	1	B09
2388	2319	80	418	1	F03
2389	2320	6	419	1	B20
2390	2321	58	419	1	F02
2391	2322	80	419	1	E35
2392	2323	85	419	1	F06
2393	2324	88	419	1	F12
2394	2325	90	419	1	E39
2395	2326	10	420	1	E34
2396	2327	41	420	1	B29
2397	2328	54	420	1	E06
2398	2329	63	420	1	F01
2399	2329	63	420	3	F02
2400	2330	79	420	1	F04
2401	2331	87	420	1	F10
2402	2332	10	421	1	F03
2403	2333	47	421	1	E14
2404	2334	62	421	1	E07
2405	2335	75	421	1	E43
2406	2336	88	421	1	F05
2407	2337	92	421	1	B14
2408	2338	88	422	1	F07
2409	2339	92	422	1	E24
2410	2339	92	422	2	E25
2411	2340	4	423	1	E32
2412	2341	8	423	1	B30
2413	2342	16	423	1	E04
2414	2343	20	423	1	B09
2415	2344	38	423	1	F03
2416	2345	1	424	1	E32
2417	2346	29	424	1	B10
2418	2347	31	424	1	B06
2419	2348	53	424	1	F01
2420	2349	85	424	1	B05
2421	2350	95	424	1	F07
2422	2351	9	425	1	E11
2423	2352	17	425	1	E03
2424	2353	46	425	1	B24
2425	2354	61	425	1	F08
2426	2355	68	425	1	B30
2427	2356	70	425	1	E44
2428	2357	76	425	1	B16
2429	2357	76	425	3	B17
2430	2358	95	425	1	B29
2431	2359	38	426	1	F02
2432	2360	43	426	1	E45
2433	2361	52	426	1	E36
2434	2362	88	426	1	F05
2435	2363	89	426	1	E51
2436	2364	16	427	1	E05
2437	2364	16	427	1	E06
2438	2365	26	427	1	E46
2439	2366	60	427	1	F09
2440	2367	72	427	1	F04
2441	2368	22	428	1	E21
2442	2369	31	428	1	B27
2443	2370	32	428	1	E01
2444	2371	35	428	1	E40
2445	2372	50	428	1	F07
2446	2373	59	428	1	B20
2447	2374	25	429	1	B17
2448	2375	37	429	1	E49
2449	2376	73	429	1	E25
2450	2377	76	429	1	F03
2451	2378	82	429	1	F03
2452	2379	84	429	1	F09
2453	2380	39	430	1	E45
2454	2381	47	430	1	E34
2455	2382	60	430	1	E53
2456	2382	60	430	3	E54
2457	2383	62	430	1	E56
2458	2384	5	431	1	E02
2459	2385	13	431	1	E48
2460	2386	23	431	1	E26
2461	2387	40	431	1	F09
2462	2388	57	431	1	F03
2463	2389	59	431	1	F08
2464	2390	23	433	1	B04
2465	2391	24	433	1	B06
2466	2392	71	433	1	E44
2467	2393	75	433	1	F10
2468	2394	83	433	1	E04
2469	2395	3	434	1	F05
2470	2396	12	434	1	E31
2471	2397	31	434	1	E55
2472	2398	57	434	1	F06
2473	2399	79	434	1	B20
2474	2400	81	434	1	E29
2475	2401	11	435	1	E14
2476	2402	63	435	1	B05
2477	2403	68	435	1	B27
2478	2404	17	436	1	B19
2479	2405	24	436	1	E37
2480	2406	29	436	1	B22
2481	2407	34	436	1	F02
2482	2408	82	436	1	E41
2483	2409	85	436	1	E22
2484	2410	18	437	1	B20
2485	2411	40	437	1	E56
2486	2412	44	437	1	B06
2487	2413	72	437	1	B05
2488	2414	87	437	1	E15
2489	2415	88	437	1	F10
2490	2416	93	437	1	B12
2491	2417	34	438	1	E42
2492	2418	39	438	1	F03
2493	2419	67	438	1	F06
2494	2420	73	438	1	B17
2495	2421	88	438	1	B05
2496	2422	10	439	1	F06
2497	2422	10	439	1	F07
2498	2423	54	439	1	F11
2499	2424	72	439	1	E56
2500	2425	78	439	1	B13
2501	2426	80	439	1	B24
2502	2427	86	439	1	F12
2503	2428	14	440	1	F01
2504	2428	14	440	3	F02
2505	2429	47	440	1	F08
2506	2430	59	440	1	B15
2507	2431	73	440	1	F04
2508	2432	78	440	1	F02
2509	2433	2	441	1	F02
2510	2433	2	441	3	F03
2511	2434	44	441	1	B14
2512	2435	50	441	1	E56
2513	2436	62	441	1	B06
2514	2437	64	441	1	E04
2515	2438	65	441	1	E49
2516	2439	66	441	1	E44
2517	2440	81	441	1	F10
2518	2441	82	441	1	F08
2519	2442	29	442	1	B12
2520	2443	64	442	1	F07
2521	2444	94	442	1	F05
2522	2445	5	443	1	B18
2523	2446	47	443	1	E33
2524	2447	65	443	1	E18
2525	2448	68	443	1	E23
2526	2449	7	444	1	F04
2527	2450	28	444	1	F03
2528	2451	34	444	1	E49
2529	2452	80	444	1	E40
2530	2453	6	445	1	E21
2531	2454	10	445	1	E40
2532	2455	50	445	1	F04
2533	2456	4	446	1	B26
2534	2457	10	446	1	F06
2535	2458	20	446	1	B25
2536	2459	27	446	1	E25
2537	2459	27	446	3	E26
2538	2460	85	446	1	B12
2539	2461	3	447	1	B19
2540	2462	26	447	1	F07
2541	2463	51	447	1	B28
2542	2464	68	447	1	B29
2543	2465	70	447	1	E33
2544	2466	82	447	1	E05
2545	2467	41	448	1	E25
2546	2468	58	448	1	B24
2547	2469	79	448	1	E19
2548	2470	87	448	1	B24
2549	2471	95	448	1	F05
2550	2472	23	449	1	B12
2551	2473	27	449	1	E15
2552	2474	39	449	1	F03
2553	2475	43	449	1	B16
2554	2476	44	449	1	B11
2555	2477	63	449	1	B02
2556	2478	66	449	1	E52
2557	2479	73	449	1	E04
2558	2480	82	449	1	F11
2559	2481	84	449	1	B13
2560	2482	12	450	1	B20
2561	2483	13	450	1	E50
2562	2484	14	450	1	F04
2563	2485	41	450	1	B14
2564	2486	53	450	1	E09
2565	2487	56	450	1	E21
2566	2488	69	450	1	E28
2567	2489	19	451	1	E28
2568	2490	25	451	1	E17
2569	2491	63	451	1	B23
2570	2492	72	451	1	F12
2571	2493	87	451	1	B03
2572	2494	14	452	1	B03
2573	2495	31	452	1	F04
2574	2496	72	452	1	E30
2575	2497	75	452	1	E54
2576	2498	91	452	1	F12
2577	2499	17	453	1	B10
2578	2500	20	453	1	E37
2579	2501	25	453	1	E05
2580	2502	44	453	1	B06
2581	2503	45	453	1	E01
2582	2504	8	454	1	F11
2583	2505	13	454	1	E25
2584	2506	36	454	1	B22
2585	2507	47	454	1	F01
2586	2508	67	454	1	E41
2587	2509	95	454	1	F09
2588	2510	33	455	1	E01
2589	2511	44	455	1	E12
2590	2512	46	455	1	B18
2591	2513	49	455	1	F01
2592	2514	63	455	1	E06
2593	2515	87	455	1	E09
2594	2516	23	456	1	B21
2595	2517	93	456	1	B12
2596	2517	93	456	2	B13
2597	2518	12	457	1	E26
2598	2519	41	457	1	F02
2599	2520	44	457	1	B21
2600	2521	50	457	1	B26
2601	2522	77	457	1	F07
2602	2522	77	457	3	F08
2603	2523	83	458	1	B12
2604	2524	87	458	1	E52
2605	2525	3	459	1	E42
2606	2525	3	459	1	E43
2607	2526	5	459	1	E28
2608	2527	13	459	1	F10
2609	2528	21	459	1	F09
2610	2529	23	459	1	B29
2611	2530	61	459	1	E03
2612	2531	67	459	1	F06
2613	2532	16	460	1	F04
2614	2533	20	460	1	E04
2615	2534	30	460	1	E31
2616	2535	40	460	1	B18
2617	2536	1	461	1	E40
2618	2537	8	461	1	F01
2619	2538	32	461	1	E10
2620	2539	45	461	1	B01
2621	2540	74	461	1	B25
2622	2541	87	461	1	E56
2623	2541	87	461	2	E57
2624	2542	22	462	1	E50
2625	2543	38	462	1	B12
2626	2544	50	462	1	E47
2627	2545	63	462	1	F12
2628	2546	24	463	1	E14
2629	2547	32	463	1	B08
2630	2548	52	463	1	E01
2631	2549	54	463	1	F08
2632	2550	66	463	1	B20
2633	2551	4	464	1	B26
2634	2552	13	464	1	F08
2635	2553	41	464	1	B24
2636	2554	42	464	1	B01
2637	2555	58	464	1	F10
2638	2556	88	464	1	F06
2639	2557	95	464	1	F04
2640	2558	8	465	1	F02
2641	2559	13	465	1	B05
2642	2560	45	465	1	B18
2643	2561	59	465	1	B14
2644	2562	61	465	1	F04
2645	2563	78	465	1	B01
2646	2564	91	465	1	F11
2647	2565	93	465	1	F01
2648	2566	7	466	1	B13
2649	2567	13	466	1	F07
2650	2568	17	466	1	E56
2651	2569	21	466	1	F12
2652	2570	29	466	1	B29
2653	2571	31	466	1	F05
2654	2572	33	466	1	F07
2655	2573	34	466	1	E07
2656	2574	35	466	1	F03
2657	2575	39	466	1	F11
2658	2576	46	466	1	F06
2659	2577	65	466	1	B24
2660	2578	17	467	1	E25
2661	2579	28	467	1	E44
2662	2580	30	467	1	B01
2663	2581	52	467	1	F06
2664	2582	58	467	1	E46
2665	2583	63	467	1	F01
2666	2584	69	467	1	F01
2667	2585	77	467	1	B13
2668	2586	85	467	1	F01
2669	2587	86	467	1	E09
2670	2588	2	468	1	F04
2671	2589	3	468	1	F02
2672	2590	14	468	1	B15
2673	2591	21	468	1	B08
2674	2592	38	468	1	E26
2675	2593	62	468	1	F06
2676	2594	65	468	1	B17
2677	2595	77	468	1	E05
2678	2596	2	469	1	F12
2679	2597	16	469	1	E54
2680	2598	17	469	1	E37
2681	2599	31	469	1	E41
2682	2600	65	469	1	B03
2683	2601	70	469	1	F10
2684	2602	84	469	1	E01
2685	2603	86	469	1	F10
2686	2604	4	470	1	B05
2687	2605	22	470	1	F09
2688	2606	37	470	1	F09
2689	2607	47	470	1	E38
2690	2608	59	470	1	F03
2691	2609	72	470	1	F10
2692	2610	1	471	1	B25
2693	2611	4	471	1	B05
2694	2612	11	471	1	F10
2695	2613	15	471	1	B26
2696	2613	15	471	3	B27
2697	2614	85	471	1	E07
2698	2615	43	472	1	F03
2699	2615	43	472	1	F04
2700	2616	53	472	1	E47
2701	2617	65	472	1	E33
2702	2618	81	472	1	B14
2703	2619	13	473	1	F11
2704	2620	14	473	1	E09
2705	2621	30	473	1	F04
2706	2622	31	473	1	E44
2707	2623	64	473	1	E35
2708	2624	3	474	1	E52
2709	2625	54	474	1	E30
2710	2626	58	474	1	F01
2711	2627	77	474	1	B13
2712	2628	79	474	1	F02
2713	2629	92	474	1	E24
2714	2630	94	474	1	F07
2715	2631	51	475	1	E32
2716	2632	56	475	1	E44
2717	2633	65	475	1	E03
2718	2634	89	475	1	E25
2719	2635	93	475	1	B30
2720	2636	94	475	1	B05
2721	2637	19	476	1	F05
2722	2638	57	476	1	F09
2723	2639	93	476	1	E35
2724	2640	44	477	1	B21
2725	2641	70	477	1	B29
2726	2642	87	477	1	F02
2727	2643	10	478	1	E12
2728	2644	20	478	1	E33
2729	2645	23	478	1	E12
2730	2646	34	478	1	E23
2731	2647	74	478	1	E27
2732	2648	10	479	1	F07
2733	2649	21	479	1	F07
2734	2650	23	479	1	E19
2735	2651	36	479	1	F11
2736	2652	61	479	1	B13
2737	2653	67	479	1	B22
2738	2654	76	479	1	E08
2739	2655	17	480	1	E38
2740	2656	76	480	1	E25
2741	2657	79	480	1	B02
2742	2658	4	481	1	E16
2743	2659	61	481	1	B06
2744	2660	68	481	1	F09
2745	2661	79	481	1	E26
2746	2662	88	481	1	F01
2747	2663	3	482	1	F11
2748	2664	7	482	1	B22
2749	2665	39	482	1	E09
2750	2666	80	482	1	B12
2751	2667	42	483	1	F08
2752	2668	74	483	1	E13
2753	2669	95	483	1	B15
2754	2670	9	484	1	F05
2755	2671	11	484	1	F01
2756	2672	13	484	1	B17
2757	2673	52	484	1	E08
2758	2674	35	485	1	F08
2759	2675	59	485	1	F11
2760	2676	65	485	1	E22
2761	2677	82	485	1	B15
2762	2678	85	485	1	E05
2763	2679	89	485	1	E14
2764	2680	9	486	1	E02
2765	2681	66	486	1	F12
2766	2682	71	486	1	E18
2767	2683	72	486	1	E28
2768	2684	46	487	1	B13
2769	2685	7	488	1	B26
2770	2686	8	488	1	B18
2771	2687	12	488	1	E36
2772	2688	38	488	1	F05
2773	2689	54	488	1	F11
2774	2690	60	488	1	E11
2775	2691	87	488	1	E04
2776	2692	89	488	1	E36
2777	2693	27	489	1	B17
2778	2694	36	489	1	F10
2779	2695	57	489	1	E46
2780	2696	61	489	1	F08
2781	2697	1	490	1	B17
2782	2698	23	490	1	F02
2783	2699	25	490	1	F07
2784	2700	27	490	1	B30
2785	2701	57	490	1	E47
2786	2702	27	491	1	B29
2787	2703	39	491	1	F07
2788	2704	76	491	1	F12
2789	2705	86	491	1	E16
2790	2706	87	491	1	E24
2791	2707	19	492	1	E23
2792	2708	32	492	1	E12
2793	2709	33	492	1	B16
2794	2710	74	492	1	E26
2795	2711	78	492	1	E18
2796	2712	79	492	1	E07
2797	2713	33	493	1	B10
2798	2714	45	493	1	F06
2799	2715	69	493	1	F06
2800	2716	74	493	1	F10
2801	2717	82	493	1	F09
2802	2718	11	494	1	F08
2803	2719	28	494	1	E47
2804	2720	44	494	1	F01
2805	2720	44	494	3	F02
2806	2721	52	494	1	E04
2807	2722	35	495	1	F01
2808	2723	64	495	1	B02
2809	2724	77	495	1	E26
2810	2725	78	495	1	B29
2811	2726	80	495	1	B25
2812	2727	5	496	1	F09
2813	2728	23	496	1	E22
2814	2729	53	496	1	E51
2815	2730	66	496	1	B20
2816	2730	66	496	3	B21
2817	2731	78	496	1	B01
2818	2732	7	497	1	B21
2819	2732	7	497	3	B22
2820	2732	7	497	3	E54
2821	2733	25	497	1	E15
2822	2734	58	497	1	E27
2823	2735	63	497	1	B17
2824	2736	77	497	1	F05
2825	2737	22	498	1	E27
2826	2738	23	498	1	B17
2827	2739	30	498	1	B03
2828	2740	44	498	1	F08
2829	2741	86	498	1	B06
2830	2741	86	498	3	B07
2831	2742	95	498	1	E28
2832	2742	95	498	2	E29
2833	2743	2	499	1	F07
2834	2744	4	499	1	E52
2835	2745	12	499	1	F01
2836	2746	27	499	1	F04
2837	2747	62	499	1	F02
2838	2748	63	499	1	F12
2839	2749	67	499	1	B06
2840	2750	72	499	1	E20
2841	2751	76	499	1	B22
2842	2752	86	499	1	B05
2843	2753	22	500	1	B20
2844	2754	30	500	1	E24
2845	2755	31	500	1	F08
2846	2756	43	500	1	F11
2847	2757	45	500	1	E49
2848	2758	46	500	1	F02
2849	2759	1	501	1	B01
2850	2760	3	501	1	E17
2851	2761	18	501	1	F01
2852	2762	52	501	1	E33
2853	2763	62	501	1	F01
2854	2764	81	501	1	E53
2855	2765	84	501	1	E33
2856	2766	13	502	1	B07
2857	2767	18	502	1	F08
2858	2768	31	502	1	E31
2859	2769	39	502	1	F10
2860	2770	43	502	1	F10
2861	2771	55	502	1	B13
2862	2772	59	502	1	B09
2863	2773	63	502	1	B10
2864	2774	70	502	1	F05
2865	2775	72	502	1	F06
2866	2776	3	503	1	F06
2867	2777	23	503	1	F05
2868	2778	31	503	1	E21
2869	2779	36	503	1	E19
2870	2780	59	503	1	B22
2871	2781	60	503	1	E43
2872	2782	73	503	1	E51
2873	2783	18	504	1	B15
2874	2784	40	504	1	B03
2875	2785	53	504	1	B21
2876	2786	72	504	1	E45
2877	2787	84	504	1	B04
2878	2788	95	504	1	F05
2879	2789	1	505	1	E55
2880	2790	14	506	1	F10
2881	2791	25	506	1	B05
2882	2792	40	506	1	F10
2883	2793	64	506	1	B08
2884	2794	76	506	1	E54
2885	2795	79	506	1	B29
2886	2796	16	507	1	B17
2887	2797	17	507	1	F11
2888	2798	48	507	1	E37
2889	2798	48	507	2	E38
2890	2799	49	507	1	F10
2891	2800	69	507	1	E40
2892	2801	61	508	1	F08
2893	2802	76	508	1	F05
2894	2803	7	509	1	F12
2895	2804	9	509	1	B11
2896	2805	27	509	1	E54
2897	2806	30	509	1	F01
2898	2807	36	509	1	B15
2899	2808	41	509	1	E24
2900	2809	52	509	1	E40
2901	2810	54	509	1	F05
2902	2811	60	509	1	B12
2903	2812	70	509	1	F04
2904	2813	76	509	1	F03
2905	2814	23	510	1	F02
2906	2815	25	510	1	B09
2907	2816	31	510	1	E21
2908	2817	49	510	1	F03
2909	2818	50	510	1	B19
2910	2819	53	510	1	B02
2911	2820	58	510	1	F10
2912	2821	89	510	1	E09
2913	2822	4	511	1	E18
2914	2823	18	511	1	B24
2915	2824	19	511	1	B17
2916	2825	69	511	1	B16
2917	2826	4	512	1	E13
2918	2827	38	512	1	E22
2919	2828	48	512	1	B21
2920	2829	93	512	1	B03
2921	2830	6	513	1	B03
2922	2831	29	513	1	E49
2923	2832	35	514	1	E42
2924	2833	48	514	1	B26
2925	2834	88	514	1	F10
2926	2835	95	514	1	F08
